name,id,team,trueShooting,usage,assist,rebound,defensive,blocks
Othilie Allbon,607f74a4fc13ae0f12000070,Devpoint,59.86,84.44,82.44,97.88,56.39,74.14
Olivier Bentham3,607f74a4fc13ae0f12000071,Browsezoom,43.61,72.42,3.74,49.34,60.57,92.5
Cad Sawood,607f74a4fc13ae0f12000072,Aibox,92.21,69.8,70.41,65.33,16.27,43.42
Kizzie Boulder,607f74a4fc13ae0f12000073,Linkbuzz,24.83,85.32,15.22,77.97,91.86,71.82
Spense Brahmer,607f74a4fc13ae0f12000074,Photobean,92.39,61.89,97.94,42.33,1.64,67.05
Philippa Ashwood,607f74a4fc13ae0f12000075,Skalith,5.82,84.58,45.93,90.18,72.42,4.55
Deanna Braim,607f74a4fc13ae0f12000076,Teklist,10.15,92.65,16.42,7.08,19.81,92.7
Blancha Horburgh,607f74a4fc13ae0f12000077,Voolith,82.03,81.87,63.85,72.76,59.86,66.08
Carmencita Jendrach,607f74a4fc13ae0f12000078,Wikibox,4.43,28.79,85.29,9.18,76.23,30.12
Ambrosio Cullagh,607f74a4fc13ae0f12000079,Blogtags,16.53,59.52,97.67,3.87,2.45,96.73
Eveleen Matthews,607f74a4fc13ae0f1200007a,InnoZ,54.34,8.63,39.18,35.63,5.43,61.43
Lisbeth Rochford,607f74a4fc13ae0f1200007b,Divape,85.5,59.11,43.34,25.43,49.4,90.92
Giorgia Watkiss,607f74a4fc13ae0f1200007c,Plambee,64.9,40.06,29.84,3.7,56.62,69.27
Merna Shalcros,607f74a4fc13ae0f1200007d,Devpoint,42.38,94.27,41.48,46.25,80.16,1.08
Albertina Pavlenko,607f74a4fc13ae0f1200007e,Voonte,19.03,27.22,99.39,59.23,40.16,16.9
Kendal MacRirie,607f74a4fc13ae0f1200007f,Quamba,67.1,73.39,88.55,28.25,82.98,43.5
Vite Sellstrom,607f74a4fc13ae0f12000080,Wikizz,35.79,64.43,17.19,53.36,69.61,85.4
Tiffie London,607f74a4fc13ae0f12000081,Oyondu,26.11,60.29,17.11,2.59,71.58,59.59
Pamella Gatehouse,607f74a4fc13ae0f12000082,Katz,3.32,85.77,61.98,65.88,25.15,56.19
Stormi Pesselt,607f74a4fc13ae0f12000083,Blogspan,56.5,70.19,95.28,43.75,50.87,91.52
Myrta May,607f74a4fc13ae0f12000084,Skidoo,31.86,40.85,32.56,89.41,33.09,48.38
Rodolph Jakeway,607f74a4fc13ae0f12000085,Jabberstorm,31.93,65.01,93.13,30.4,11.09,76.06
Jeannie Giovanitti,607f74a4fc13ae0f12000086,Zava,5.21,15.63,68.36,17.58,30.87,64.1
Kassia Kidds,607f74a4fc13ae0f12000087,Fanoodle,53.02,52.13,22.67,86.3,59.41,40.84
