firstname,lastname,team,age,trueShooting,usage,assist,rebound,defensive,blocks
Blondelle,Lymann,,25,51.21,36.86,14.99,92.21,22.06,31.49
Shannah,Olnee,Denver Nuggets,18,78.21,15.88,43.39,23.47,32.21,80.09
Drucie,Shaver,Minnesota Timberwolves,20,67.55,57.54,77.25,86.08,12.5,3.98
Inga,Lattie,Washington Wizards,21,77.62,41.57,47.27,83.96,76.71,15
Stevana,Kamaria,Milwaukee Bucks,24,98.29,52.04,79.47,90.47,32.76,55.18
Lily,Raychel,Philadelphia 76ers,20,22.72,26.63,47.72,98.08,90.66,3.87
Sybille,Brady,Brooklyn Nets,26,18.8,63.44,68.34,24.26,61.04,85.8
Mallory,Lipson,Detroit Pistons,23,98.65,93.3,43.1,20.6,50.21,63.46
Constance,Randene,Detroit Pistons,18,21.84,41.96,49,7.44,59.36,7.53
Jolyn,Elvyn,Detroit Pistons,22,9.05,5.04,52.23,91.05,32.51,96.84
Yolane,Mendez,Minnesota Timberwolves,30,47.95,19.51,77.46,5.13,17.96,38.95
Ebonee,Suzetta,San Antonio Spurs,20,50.84,98.94,61.16,50.9,47.11,67.87
Catrina,Aprile,San Antonio Spurs,24,66.81,41.55,85.48,54.89,3.92,31.86
Maye,Seumas,Dallas Mavericks,21,42.69,53.85,59.07,72.74,24.68,2.54
Adore,Ball,Atlanta Hawks,18,42.38,93.41,46.23,63.59,60.93,36.88
Justinn,Niccolo,San Antonio Spurs,23,19.92,7.32,35.18,37.07,70.62,1
Madalyn,Taima,Utah Jazz,29,51.95,80.71,5.38,35.25,22.64,41.12
Aaren,Dearborn,Houston Rockets,27,15.63,13.45,9.26,11.29,12.5,55.96
Adelle,Schlosser,Milwaukee Bucks,23,14.29,14.49,81.75,91.4,98.89,30.26
Ronna,Drisko,Miami Heat,19,71.12,6.35,88.66,52.19,64.03,68.3
Krystle,Marlie,Golden State Warriors,22,30.72,80.74,21.89,89.77,60.19,80.14
Selia,Madelene,Indiana Pacers,22,51.61,54.63,82.93,20.93,63.12,83.17
Danny,Kronfeld,Los Angeles Lakers,30,27.73,97.9,86.63,70.34,3.07,83.86
Stevana,Maxi,Minnesota Timberwolves,29,74.17,97.47,98.32,77.76,57.41,47.15
Jerry,Maryanne,Detroit Pistons,19,96.33,8.31,35.36,71.6,85.6,93.09
Rochette,Arathorn,Brooklyn Nets,30,74.95,57.01,3.94,86.77,97.02,18.25
